조사년도,대학구분,학교구분,지역,설립구분,학교명,본분교명,단과대학,학부·과(전공)명,주야구분,학과특성,학과상태,표준대계열,표준중계열,표준소계열,대학 자체 대개열,수업연한,학위과정
2020,대학,대학교,경기,사립,가천대학교,본교,IT융합대학,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학,대학교,강원,사립,가톨릭관동대학교,본교,사범대학,컴퓨터교육과,주간,일반과정,기존,자연과학계열,교육,중등자연과학교육,자연과학계열,4년,학사
2020,대학,대학교,강원,국립,강릉원주대학교,제2캠퍼스,과학기술대학,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학원,일반대학원,강원,국립,강릉원주대학교 대학원,제2캠퍼스,단과대구분없음,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,2년,"석사, 박사"
2020,대학,대학교,강원,국립,강원대학교,본교,IT대학,컴퓨터공학과,주간,일반과정,통합,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학원,일반대학원,강원,국립,강원대학교 일반대학원,본교,단과대구분없음,기계컴퓨터산업경영공학과,주간,일반과정,기존,공학계열,기계,기계공학,공학계열,2년,박사
2020,대학원,일반대학원,강원,국립,강원대학교 일반대학원,본교,단과대구분없음,컴퓨터정보통신공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,정보·통신공학,공학계열,4년,"석사,박사, 석박사통합"
2020,대학,대학교,서울,사립,건국대학교,본교,공과대학,컴퓨터공학부,주간,일반과정,통합,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,전문대학,전문대학(2년제),경기,사립,경기과학기술대학교,본교,단과대구분없음,컴퓨터모바일융합과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,정보·통신공학,공학계열,3년,전문학사
2020,대학,대학교,경남,국립,경남과학기술대학교,본교,융합기술공과대학,컴퓨터공학부(컴퓨터소프트웨어전공),주간,일반과정,신설,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학원,일반대학원,경남,국립,경남과학기술대학교 대학원,본교,단과대구분없음,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,정보·통신공학,공학계열,2년,석사
2020,대학,대학교,경남,사립,경남대학교,본교,공과대학,컴퓨터공학전공,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,전문대학,전문대학(2년제),경남,공립,경남도립거창대학,본교,단과대구분없음,컴퓨터공학과,주간,일반과정,신설,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,2년,전문학사
2020,전문대학,전문대학(2년제),경남,공립,경남도립남해대학,본교,단과대구분없음,컴퓨터SW공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,2년,전문학사
2020,전문대학,전문대학(3년제),부산,사립,경남정보대학교,본교,단과대구분없음,컴퓨터계열,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,정보·통신공학,공학계열,2년,전문학사
2020,대학,대학교,대구,국립,경북대학교,본교,IT대학,컴퓨터학부 인간중심소프트웨어전공,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,응용소프트웨어공학,공학계열,4년,학사
2020,대학,대학교,대구,국립,경북대학교,본교,IT대학,컴퓨터학부(글로벌소프트웨어융합전공),주간,일반과정,기존,공학계열,전기·전자·컴퓨터,응용소프트웨어공학,공학계열,4년,학사
2020,대학원,일반대학원,대구,국립,경북대학교 일반대학원,본교,단과대구분없음,컴퓨터학부,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,"석사,박사, 석박사통합"
2020,대학원,일반대학원,부산,사립,경성대학교 일반대학원,본교,단과대구분없음,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,2년,"석사, 박사"
2020,대학,대학교,경북,사립,경운대학교,본교,항공공과대학,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학,교육대학,경기,국립,경인교육대학교,제2캠퍼스,단과대구분없음,초등컴퓨터교육과(심화과정),주간,일반과정,기존,인문사회계열,교육,초등교육,자연과학계열,4년,학사
2020,대학원,전문대학원,인천,국립,경인교육대학교 교육전문대학원,본교,단과대구분없음,초등컴퓨터교육전공,주간,일반과정,기존,인문사회계열,교육,초등교육,자연과학계열,3년,박사
2020,대학,대학교,경북,사립,경일대학교,본교,SMART엔지니어링대학,컴퓨터사이언스학부 AI소프트웨어전공,주간,일반과정,신설,공학계열,전기·전자·컴퓨터,응용소프트웨어공학,공학계열,4년,학사
2020,대학,대학교,경북,사립,경일대학교,본교,SMART엔지니어링대학,컴퓨터사이언스학부 컴퓨터공학전공,주간,일반과정,변경,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학,대학교,경북,사립,경주대학교,본교,단과대구분없음,컴퓨터멀티미디어공학부,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학,대학교,경북,사립,경주대학교,본교,산업기술대학,전기에너지컴퓨터공학과,주간,일반과정,기존,공학계열,화공·고분자·에너지,에너지공학,공학계열,4년,학사
2020,대학,대학교,경북,사립,경주대학교,본교,산업기술대학,컴퓨터정보공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학,대학교,대구,사립,계명대학교,본교,공과대학,컴퓨터공학전공,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학원,일반대학원,대구,사립,계명대학교 대학원,본교,단과대구분없음,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,"석사,박사, 석박사통합"
2020,전문대학,전문대학(2년제),대구,사립,계명문화대학교,본교,단과대구분없음,컴퓨터학부(3년제),주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,3년,전문학사
2020,대학원,일반대학원,세종,사립,고려대학교(세종) 일반대학원,분교,단과대구분없음,컴퓨터정보학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,자연과학계열,4년,"석사,박사, 석박사통합"
2020,대학,교육대학,충남,국립,공주교육대학교,본교,사범대학,컴퓨터교육과(심화과정),주간,일반과정,기존,인문사회계열,교육,초등교육,자연과학계열,4년,학사
2020,대학,대학교,충남,국립,공주대학교,본교,공과대학,컴퓨터공학전공,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학,대학교,충남,국립,공주대학교,본교,사범대학,컴퓨터교육과,주간,일반과정,기존,자연과학계열,교육,중등자연과학교육,자연과학계열,4년,학사
2020,대학원,일반대학원,충남,국립,공주대학교 대학원,본교,단과대구분없음,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,"석사, 박사"
