A 행정구역(시군구)별,M202202 2022.02,M202203 2022.03,M202204 2022.04,M202205 2022.05,공백찾기,코드,명칭
00 전국,23546053,23590069,23617091,23650555,3,00,전국
11 서울특별시,4442586,4451444,4455106,4460604,3,11,서울특별시
11110 종로구,73763,73766,73773,73822,6,11110,종로구
11140 중구,63644,63767,63834,63880,6,11140,중구
11170 용산구,111134,111207,111293,111508,6,11170,용산구
11200 성동구,134286,134533,134437,134357,6,11200,성동구
11215 광진구,168975,169483,169638,169769,6,11215,광진구
11230 동대문구,169211,169695,169650,169815,6,11230,동대문구
11260 중랑구,187004,187693,187953,188134,6,11260,중랑구
11290 성북구,196281,197296,197566,197884,6,11290,성북구
11305 강북구,144658,144725,144709,144866,6,11305,강북구
11320 도봉구,138748,138836,138879,138951,6,11320,도봉구
11350 노원구,218249,219065,219011,218955,6,11350,노원구
11380 은평구,215001,215178,215600,216169,6,11380,은평구
11410 서대문구,144717,145044,145246,145397,6,11410,서대문구
11440 마포구,180457,180702,180696,180978,6,11440,마포구
11470 양천구,181603,181765,181921,181921,6,11470,양천구
11500 강서구,272216,272572,273025,273756,6,11500,강서구
11530 구로구,181612,181916,181966,182113,6,11530,구로구
11545 금천구,118271,118697,118977,119315,6,11545,금천구
11560 영등포구,187834,188193,188377,188506,6,11560,영등포구
11590 동작구,185688,186419,186696,186948,6,11590,동작구
11620 관악구,278497,279353,279822,280657,6,11620,관악구
11650 서초구,169979,169895,169740,169642,6,11650,서초구
11680 강남구,234634,234612,234607,234833,6,11680,강남구
11710 송파구,284218,285106,285532,285939,6,11710,송파구
11740 강동구,201906,201926,202158,202489,6,11740,강동구
26 부산광역시,1549967,1551767,1553032,1555326,3,26,부산광역시
26110 중구,24129,24218,24269,24303,6,26110,중구
26140 서구,52900,52895,52822,52852,6,26140,서구
26170 동구,46829,46938,46970,47024,6,26170,동구
26200 영도구,54560,54518,54478,54650,6,26200,영도구
26230 부산진구,173496,173573,173947,174306,6,26230,부산진구
26260 동래구,118748,119112,119227,119446,6,26260,동래구
26290 남구,117815,118153,118406,118544,6,26290,남구
26320 북구,123263,123286,123330,123469,6,26320,북구
26350 해운대구,172279,172227,172217,172126,6,26350,해운대구
26380 사하구,140385,140594,140807,140991,6,26380,사하구
26410 금정구,107785,107916,107856,107900,6,26410,금정구
26440 강서구,61929,62135,62285,62530,6,26440,강서구
26470 연제구,94026,94091,94123,94182,6,26470,연제구
26500 수영구,86261,86445,86584,86829,6,26500,수영구
26530 사상구,98603,98651,98618,98702,6,26530,사상구
26710 기장군,76959,77015,77093,77472,6,26710,기장군
27 대구광역시,1065477,1068557,1069411,1070212,3,27,대구광역시
27110 중구,38485,38989,39913,40289,6,27110,중구
27140 동구,159020,159077,159221,159446,6,27140,동구
27170 서구,82132,82008,81771,81656,6,27170,서구
27200 남구,76102,76375,76195,76179,6,27200,남구
27230 북구,191571,193063,193046,193185,6,27230,북구
27260 수성구,171549,171789,171998,172201,6,27260,수성구
27290 달서구,235076,235374,235134,234979,6,27290,달서구
27710 달성군,111542,111882,112133,112277,6,27710,달성군
28 인천광역시,1303227,1306725,1308777,1311588,3,28,인천광역시
28110 중구,71696,72111,72548,72990,6,28110,중구
28114 중구영종출장소,0,0,0,0,6,28114,중구영종출장소
28118 중구용유출장소,0,0,0,0,6,28118,중구용유출장소
28140 동구,28448,28254,27989,27783,6,28140,동구
28177 미추홀구,194065,194357,194542,194998,6,28177,미추홀구
28185 연수구,155844,156689,156787,156685,6,28185,연수구
28200 남동구,228723,228854,228876,228517,6,28200,남동구
28237 부평구,213598,213637,213620,215100,6,28237,부평구
28245 계양구,128063,128073,128079,128214,6,28245,계양구
28260 서구,235870,237705,239146,239984,6,28260,서구
28265 서구검단출장소,0,0,0,0,6,28265,서구검단출장소
28710 강화군,34825,34881,34952,35058,6,28710,강화군
28720 옹진군,12095,12164,12238,12259,6,28720,옹진군
29 광주광역시,647419,648252,648653,649454,3,29,광주광역시
29110 동구,52514,52484,52481,52540,6,29110,동구
29140 서구,132949,133049,133103,133119,6,29140,서구
29155 남구,95954,95963,96146,96486,6,29155,남구
29170 북구,196446,196919,196995,197158,6,29170,북구
29200 광산구,169556,169837,169928,170151,6,29200,광산구
30 대전광역시,666643,667934,668599,669589,3,30,대전광역시
30110 동구,107803,107833,107663,108142,6,30110,동구
30140 중구,107714,108026,108236,108179,6,30140,중구
30170 서구,214326,214721,214965,215087,6,30170,서구
30200 유성구,156347,156792,157164,157541,6,30200,유성구
30230 대덕구,80453,80562,80571,80640,6,30230,대덕구
31 울산광역시,483490,484122,484641,485349,3,31,울산광역시
31110 중구,93574,93628,93673,93658,6,31110,중구
31140 남구,138537,138654,138903,139223,6,31140,남구
31170 동구,66313,66377,66393,66449,6,31170,동구
31200 북구,86287,86522,86602,86626,6,31200,북구
31710 울주군,98779,98941,99070,99393,6,31710,울주군
36 세종특별자치시,155990,156696,157270,157846,3,36,세종특별자치시
36110 세종시,155990,156696,157270,157846,6,36110,세종시
41 경기도,5861240,5871380,5880097,5890145,3,41,경기도
41110 수원시,520276,521628,522499,523201,6,41110,수원시
41111 장안구,118654,119118,119186,119244,6,41111,장안구
41113 권선구,159387,159954,160328,160482,6,41113,권선구
41115 팔달구,91372,91367,91305,91352,6,41115,팔달구
41117 영통구,150863,151189,151680,152123,6,41117,영통구
41130 성남시,410029,409933,409866,409840,6,41130,성남시
41131 수정구,114713,114801,114820,114773,6,41131,수정구
41133 중원구,100193,100005,99827,99729,6,41133,중원구
41135 분당구,195123,195127,195219,195338,6,41135,분당구
41150 의정부시,206658,207169,207416,207857,6,41150,의정부시
41170 안양시,226737,227077,227293,227666,6,41170,안양시
41171 만안구,102808,102791,102770,102661,6,41171,만안구
41173 동안구,123929,124286,124523,125005,6,41173,동안구
41190 부천시,346917,346926,347001,346910,6,41190,부천시
41210 광명시,119368,119232,119439,119621,6,41210,광명시
41220 평택시,263971,264816,265784,266929,6,41220,평택시
41222 송탄출장소,0,0,0,0,6,41222,송탄출장소
41224 안중출장소,0,0,0,0,6,41224,안중출장소
41250 동두천시,44393,44422,44436,44481,6,41250,동두천시
41270 안산시,292358,293106,293504,293652,6,41270,안산시
41271 상록구,156391,157047,157375,157463,6,41271,상록구
41273 단원구,135967,136059,136129,136189,6,41273,단원구
41280 고양시,458251,459192,460024,460568,6,41280,고양시
41281 덕양구,211826,212430,213177,213686,6,41281,덕양구
41285 일산동구,128615,129078,129264,129294,6,41285,일산동구
41287 일산서구,117810,117684,117583,117588,6,41287,일산서구
41290 과천시,28707,28920,29054,29103,6,41290,과천시
41310 구리시,80709,80867,80876,80870,6,41310,구리시
41360 남양주시,299932,300295,301189,302282,6,41360,남양주시
41362 풍양출장소,0,0,0,0,6,41362,풍양출장소
41370 오산시,102428,102556,102763,102890,6,41370,오산시
41390 시흥시,220983,221994,222458,223142,6,41390,시흥시
41410 군포시,113140,113280,113677,114027,6,41410,군포시
41430 의왕시,65745,65718,65634,65501,6,41430,의왕시
41450 하남시,139569,139854,139904,140012,6,41450,하남시
41460 용인시,430127,430634,430825,431345,6,41460,용인시
41461 처인구,115223,115334,115586,115873,6,41461,처인구
41463 기흥구,174199,174387,174238,174296,6,41463,기흥구
41465 수지구,140705,140913,141001,141176,6,41465,수지구
41480 파주시,213303,213810,214270,214626,6,41480,파주시
41500 이천시,101287,101499,101688,102101,6,41500,이천시
41550 안성시,89392,89626,89743,90014,6,41550,안성시
41570 김포시,201192,201184,201221,201352,6,41570,김포시
41590 화성시,375084,376287,377376,379119,6,41590,화성시
41592 화성시동부출장소,0,0,0,0,6,41592,화성시동부출장소
41594 화성시동탄출장소,0,0,0,0,6,41594,화성시동탄출장소
41610 광주시,168161,168466,168953,169362,6,41610,광주시
41630 양주시,102588,102620,102688,102838,6,41630,양주시
41650 포천시,73730,73688,73762,73823,6,41650,포천시
41670 여주시,53110,53170,53259,53322,6,41670,여주시
41800 연천군,22060,22139,22117,22109,6,41800,연천군
41820 가평군,31839,31896,31948,32005,6,41820,가평군
41830 양평군,59196,59376,59430,59577,6,41830,양평군
42 강원도,748626,750531,751554,752649,3,42,강원도
42110 춘천시,131133,131520,131864,132179,6,42110,춘천시
42130 원주시,165865,166291,166639,167123,6,42130,원주시
42150 강릉시,102954,103187,103259,103321,6,42150,강릉시
42170 동해시,42960,42988,42985,43014,6,42170,동해시
42190 태백시,20634,20617,20624,20599,6,42190,태백시
42210 속초시,40798,40848,40872,40929,6,42210,속초시
42230 삼척시,33397,33994,34083,34090,6,42230,삼척시
42720 홍천군,34283,34304,34283,34328,6,42720,홍천군
42730 횡성군,23598,23606,23702,23719,6,42730,횡성군
42750 영월군,21141,21245,21283,21308,6,42750,영월군
42760 평창군,21771,21793,21775,21827,6,42760,평창군
42770 정선군,19719,19705,19700,19710,6,42770,정선군
42780 철원군,20835,20809,20791,20778,6,42780,철원군
42790 화천군,12519,12510,12495,12481,6,42790,화천군
42800 양구군,10666,10667,10674,10671,6,42800,양구군
42810 인제군,16416,16440,16479,16485,6,42810,인제군
